,Unnamed: 0,author_link,author_name,stars,date,title,body
0,0,/users/ksellena,ksellena,5,2022-12-16T13:48:16+01:00,"
Аватар: Путь воды → 13 лет ожиданий и вот оно, долгожданное продолжение фильма ""Аватар""! Я рыдала навзрыд! Отзыв сразу после просмотра ","
Привет! Наконец-то он вышел! Долгожданное продолжение культового фильма ""Аватар""! Спустя 13 лет вышла вторая часть фильма под названием ""Аватар: Путь воды"".Продолжительность - 192 минутыРелиз - 6 декабря 2022Режиссер - Джеймс КэмеронЖанр - фантастика, фэнтези, боевик, приключенияВ ролях:Сэм УортингтонЗои СалданаСигурни УиверСтивен ЛэнгКейт УинслетКлифф Кёртис  










Avatar: The Way of Water 2022 отзывы→ Аннотация к фильму:После принятия образа аватара солдат Джейк Салли становится предводителем народа на'ви и берет на себя миссию по защите новых друзей от корыстных бизнесменов с Земли. Теперь ему есть за кого бороться — с Джейком его прекрасная возлюбленная Нейтири. Когда на Пандору возвращаются до зубов вооруженные земляне, Джейк готов дать им отпор. 










фильм Аватар: Путь воды→ Персонажи / Кратко о сюжетеСэм Уортингтон и Зои Салдана вернулись к своим главным ролям. Честно скажу, спустя 13 лет мне плохо помнится, что было в первой части и фильм я не пересматривала с тех пор, но те непередаваемые эмоции от просмотра я все же помню. 










Аватар: Путь водыВ фильме ""Аватар: Путь воды"" события развиваются дальше. Сюжет строится на том, что на Пандору снова вторглись вооруженные земляне и Джейк, который теперь обзавелся семьей и окончательно укрепился в качестве предводителя народа на'ви, будет противостоять им. 










Аватар: Путь воды отзывы→ Впечатления от просмотраПоначалу было тяжело вникнуть в суть происходящего, т.к. события прошлого фильма подзабылись (еще бы, 13 лет прошло как никак). Но сюжет здесь довольно прост и понятен, так что ход повествования быстро усваивается и картинка выглядит цельной. 










Аватар: Путь воды 2022Что мне очень понравилось в фильме ""Аватар: Путь воды "":Съемка, виды, ракурсы, все было идеально! Невероятная красота природы и этот новый завораживающий мир не перестает восхищать своими красотами и масштабами.Я думала, что со времен первого ""Аватара"" все это уже не будет так выгодно смотреться на экране, все-таки в то время этот фильм действительно был шедевром и чем-то новым, оригинальным. Но нет, скажу, что даже в 2022 году Пандора восхищает. Красота здесь буквально в каждом кадре! Чувствуется масштабность и размах. 










Аватар: Путь воды 2022 отзывыАктерская игра.Особенно мне нравилась Зои Солдана. Несмотря на тонну грима, я видела все ее эмоции, да и не только ее. Все актеры играют великолепно!Музыка трогает до глубины души, просто эмоции через край! Особенно финальный трек впечатлил. 










отзывы на фильм Аватар: Путь водыИ главное, за что я ставлю максимальную оценку фильму - это эмоции.Настолько трогательных фильмов я давно не смотрела. Здесь, особенно ближе к финалу (последний час фильма), я просто рыдала без конца. Не могла сдержать эмоций. Столько трогательных и даже трагичных моментов... жесть, давно я так не ревела над фильмами! 










отзывы на фильм Аватар: Путь воды 2022Финал.Понравился и финал, битва, сама концовка с намеком на продолжение, да даже монолог одного из героев был великолепным и пробивал на эмоции. Как я поняла, третья часть фильма выйдет в 2024 году, ну уж надеюсь, что с выходом этого фильма не станут тянуть 13 лет и дата окончательная. С другой стороны, есть риск, что поторопятся и уже не получится такого великолепия... 










отзывы на фильм Аватар 2022Теперь о недостатках, но несмотря на это, у меня все равно не поднимается рука занижать фильму оценку.Предсказуемость и клише.Здесь все очевидно, сразу было ясно, кто кому будет помогать, кто кого предаст и т.д. НО в защиту скажу, что это не портило картину. Фильм все равно получился очень сильным и даже эпичным.Легкая, но красивая затянутость.3 часа хронометража, при этом где-то ЧАС ничего не происходит, но зато именно в эти моменты можно смотреть фильм для души, восхищаться местной фауной и т.п. 










 фильм Аватар 2022→ ВыводыЯ бы даже сказала, что осталась в восторге от фильма ""Аватар: Путь воды"" 2022. Даже отзыв пишу прям сразу после просмотра, еще слезы на щеках не высохли  Невероятно трогательный фильм с качественной съемкой и актерской игрой. Жаль, слегка подкачал сюжет (ну очень банальный), но моя оценка все равно максимальная. Это отличный проработанный фильм, рекомендую всем, кто смотрел и помнит фильм ""Аватар""! 










фильм Аватар: Путь воды 2022✅ Достоинства:Красивая природа, кадры, съемкаЗавораживает, восхищаетМузыкаАктерская играНевероятные эмоции (ревела навзрыд) Много трогательного и вдохновляющегоМасштабность картиныФинал❌ Недостатки:Слегка затянутПредсказуемо, клишеСнова ждать продолжения 










отзывы на фильм Аватар P.S. Я решила дополнить отзыв личной историей. У меня был интернет-друг, с которым мы общались очень долго в интернете. Смотрели вместе Игру престолов, ждали каждый сезон... Так вот, именно он заставил меня посмотреть 13 лет назад фильм ""Аватар"" (его любимый фильм, как и ""Властелин колец"" тоже смотрела с его подачи). Так вот, это я к чему все... он так и не увидел продолжение своего любимого фильма, умер в прошлом году. Как жаль, что некоторые фильмы приходится ждать ТАК ДОЛГО, кто-то может попросту не дождаться (звучит не так страшно, как есть на самом деле)... Это так, мысли вслух и думы как раз после просмотра, ибо я до сих пор на эмоциях, хотя прошло уже несколько часов. Благодарю за внимание.➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖Другие отзывы на фильмы в ЭТОМ РАЗДЕЛЕ150+ рублей ежедневно за просмотры на Irecommend! "
1,1,/users/nataliya34,nataliya34,2,2022-12-17T11:26:17+01:00,"
Это провал, Карл!  ","
Пусть я буду той Бабой Ягой, которая против. Мне ""Аватар: Путь воды"" категорически НЕ понравился.В фильме очень много проблем. Тут даже не знаешь, с чего начать.Самое главное, что мне НЕ понравилось, Джеймс Кэмерон почему-то сделал технологический шаг назад.Объясняю.За всей этой лазурной мишурой кажется, что фильм яркий, совершенный в компьютерном плане.  










Но на деле это не так. Словно цыганка помахала яркими платками перед глазами, а потом жестоко обманула. Тут тоже самое.Даже по сравнению с первым фильмом, технология захвата движения стала на порядок слабее. 










 Видно, что движения у героев неестественные, они слишком плавные, траектория движения рук идет по окружности, а не физиологическая по движению суставов.В сценах крупными планами нет ощущения прикосновений.  










Нет вдавления кожи, когда герои трогают друг друга за руки или лицо. Нет плавности движения теней и света.Мимика очень слабая. Да и вообще полное ощущение неестественности.Особенно это чувствуется, когда в кадре совместные сцены с живыми актерами и компьютерным моделированием. 










Это не фильм, это мультик, причем столетней давности. 










 Я когда-то на сайте ЯРек оставляла отзыв на первый полнометражный японский мультфильм с технологией захвата ""Последняя фантазия. Духи внутри"" , который стал революционным в своем жанре и задал высочайшую планку. Только тому мультфильму уже 22 года. А он даже сейчас смотрится свежее, чем ""Аватар: Путь воды"" 2022 года.Я реально не понимаю, что произошло. Сколько вышло современных фильмов, сделанных на зеленом экране. Компьютерные программы совершенствуются с каждым годом. В новом Аватаре абсолютно НЕ чувствуется прогресс. И ушла ДУША.  Знаете, я могу простить несовершенство съемок, если происходящее на экране тебя погружает в сюжет, а история захватывает.Не в этот раз. Настолько примитивный сюжет с пафосными диалогами, что зубы сводит. Сценарий клишированный.  










 Зло в абсолюте нападает, добро в абсолюте защищается. 










 Диалоги примитивные. Скупые на слова. Все почему-то переговариваются короткими рубленными предложениями.  










Наша задача - укротить эту планетуСказал фразу (точнее, сказала, так как этот вояка - женщина) и смотрит пять минут на собеседника - проникся тот пафосным моментом или нет?Я - воин, и мое место на поле боя.Лучше не знать, кто твой отец. 










Я должен защитить семью.Вода - твой дом. До рождения и после смерти. 










Еще один момент. В первом Аватаре был соблюден баланс между реальной жизнью с натуральными съемками и живыми актерами с синими аватарами. В версии 2022 года остались сплошные синие люди за редким вкраплением реальных актеров. 










 Итог.- Очень скучно.- Длительность фильма 3 часа.- Сюжетный провал.- Пафосные речи.- Устаревшая программа технологии захвата.- Неестественность и переигрывание.- Перебор синего цвета, что глаза слезятся. Ну, не знаю. Это уже не наслаждение от просмотра, а изощренная пытка.Я не рекомендую ""Аватар: Путь воды"" (2022, фильм). "
2,2,/users/gala58-0,Tovaroved007,2,2023-01-09T11:46:05+01:00,"
Аватар:Путь воды - фильм, который опоздал на десятилетие. История, в которой переживаешь не за судьбу Джейка Салли и его семьи, а за других героев ","
Помню как в 2009 году меня поразил фильм ""Аватар"" и конечно я не могла пропустить продолжение ""Аватар: Путь воды"". 










В итоге фильм разочаровал полностью.ЧТО НЕ ПОНРАВИЛОСЬ.1. Сюжет слишком затянут.3 часа смотреть практически не развивающийся сюжет тяжело. В этом фильма, по моему мнению, творческий потенциал режиссёра Джеймса Кэмерона иссяк, было ощущение, что надо было показать покрасивее картинку, не особо акцентируя внимание на сами события.Во время просмотра создаётся впечатление, что сюжет ""Аватар: Путь воды"" построен на трилогии.Первый час мы наблюдаем за плавнотекущей жизнью семьи главного героя Джейка Салли — вождя клана Оматикайя. 










Никаких интересных событий, диалогов. Только нападение военных разбавляет эту скукоту. По большому счету целый час идёт вступление к основной части фильма ""Аватар: Путь воды"".Через час мы переносимся в племя рифов Меткайина и наконец-то я жду, что увижу основную захватывающую часть фильма и события начнут развиваться. 










Но снова разочарование. Такое ощущение, что жизнь в этом водном клане стоит на месте.Каждый герой оказывается оторван от других, нет единства, нет сплоченности, каждый сам по себе и занимается чем-то.Если ещё дети Джейка Салли то с китами-тулкунами знакомятся, то к древу Душ плавают и вообще у них есть хоть какое взаимодействие с детьми племя рифов Меткайина, то взрослые персонажи - Джейк Салли и его жена Нейтири никак не хотят стать частью этого мира и практически не общаются с вождем клана Тоновари и его женой Ронал. 










 










По факту не раскрыта культура этого морского племени, ни отношения между двумя народами. По итогу они так и не сблизились, а больше ""собачились"". 










Почему-то акцент в фильме сделан на китах. Рассказано какими они обладают ""талантами"", почему Паякан стал отшельником и в финале киты в эпицентре событий.Удивительно, что все герои для меня остались не раскрыты, а больше всего симпатизировал кит одиночка, именно он вызывал жалость, сочувствие. 










Третий час фильма - это борьба добра со злом с уже понятным финалом. 










Я иногда не выдерживаю 10-минутные бои, понимая кто победит, а здесь придётся целый час наблюдать как главные герои выясняют отношения.Смотрится борьба эффектно, но наблюдать за боевыми действиями час очень утомительно.2. Сюжет построен на жестокости и негативе, мало позитивных моментов.Весь фильм ощущения, что все герои находятся в напряжении - что Джейк Салли с женой, что клан племени рифов.Постоянно приходится смотреть на недовольные выражения лиц. 










 










Периодически мы видим стычки между героями и их детьми. 










Племя рифов вызывает у меня неприязнь, казалось бы женщина должна быть понимающий, а здесь сразу нападки - и хвост не такой и руки не для плавания.Только дети немного добавляют ""теплоту"" в фильм. 










 










Постоянная беготня и желание полковника Майлза Куоритча убить Джейка Салли начинает надоедать. Показано жестокое обращение с детьми и животными, понятно, что режиссёр хотел отразить насколько полковник мерзок в методах борьбы, но приём ""только плохой"" и ""только хороший"" герой уже не цепляет. 










3. Графика и спецэффекты. Не знаю, чем Джеймс Кемерон хотел удивить, но с 2009 года технологии сделали колоссальный прорыв, а графика этого фильма осталась на уровне 2009 года. Мне кажется даже в российском кинематографе есть более интересные спецэффекты и прорисованные персонажи. 










Я не увидела совершенно нечего нового, что могло удивить.Да, в целом визуал красивый, но такой красотой сейчас наполнен любой фантастический фильм. 










Подводный мир мне показался скудным и скучным. Мало ярких красок - в основном синий и зеленый, у меня даже глаза начали уставать все видеть в одних цветах. 










 










4. Поведение некоторых героев. Мне не понятно поведение Джейка Салли.С одной стороны я осознаю, что он спасает ""свою шкуру"", но с другой стороны подставлять другие племена не очень хорошая затея. Он же понимает прекрасно, что в покое их не оставят и будут искать. 










Может быть одиноких островов не осталось и укрыться уединенно нельзя было, но тогда надо было настроить другие народы на войну, так как военные захватили бы рано или поздно все уголки Пандоры, убив скорее всего всех там живущих. В общем в этом фильме Джейк Салли очень пассивен, лишь трусливо прячется.Не поняла поведение «Паука» Майлза, все таки гены дали о себе знать? 










ЧТО ПОНРАВИЛОСЬ1. Хоть персонажи и рисованные, но хорошо показаны их эмоции - горе, радость, отчаяние, вся палитра чувства отражена на их лицах. 










 










2. Есть красивые кадры природы, но лучше это видеть в кинотеатре на большом экране. 










 










Я пришла к выводу, что под фильм ""Аватар: Путь воды"" хорошо засыпать, особенно расслабляют кадры морских глубин.Очень нудный, скучный получился фильм, в котором практически ничего не происходит. 










Сюжет шаблонный. Мне кажется сценарии с похожей тематикой кишат в американском кинематографе. Уже поднадоела эта постоянная тема человеконенавистничества, захватнических войн и порабощения, где кристально хорошие люди борятся с ужасными негодяями.По сути ощущение, что главный герой - кит Паякан, так как о его истории и судьбе рассказано больше, чем о всех героях морского клана вместе взятых и только за этого героя-представителя животного подводного мира переживаешь. "
3,3,/users/linara1985,Linara1985,3,2023-01-19T11:05:14+01:00,"
Фильм о том, как отцовство может сделать из героя труса ","
Здравствуйте. Сегодня я хочу поделиться с вами своими впечатлениями от просмотра фильма ""Аватар: Путь воды"". 










Год производства - 2022 год.Страна - США.Жанр - фантастика, фэнтези, боевик, приключения.Время - 192 мин. / 03 часа 12 минут. 










Предыстория просмотра.Вообще я не любитель фантастики или фэнтези (исключение составляет тёмное фэнтези), мои жанры это ужасы, детективы, триллеры, иногда комедии.Но как-то так получилось, что бывают в жизни фильмы, которые смотрят все, не зависимо от своих жанровых предпочтений. Так вот ""Аватар"" один из них.И когда вышла вторая часть, мой мужчина начала меня уговаривать её посмотреть. Где-то недельки через 1,5-2 я сдалась и согласилась. И вот расположились мы удобно на диване, с чаем, печеньками и мандаринками, включили кино и... за первые 15 минут трёхчасового фильма я задала около 20 вопросов: ""а это кто?"", ""а когда и как он умер?"", ""а почему у него хвост?"", ""а что они делают?"", ""а этот в первой части был?"" и так далее.После этого пришлось пересматривать первую часть, чтобы понимать, что происходит во второй.Мой отзыв на первый ""Аватар"" можете прочесть тут https://irecommend.ru/content/film-snyatyi-v-2009-...А так как первая часть без малого шла три часа, тем вечером к просмотру второго ""Аватара"" мы так и не вернулись.А когда на следующий вечер включили фильм дальше, в глаза бросился невероятный контраст графики между первой и второй частями.И нет, сравнение оказалось не в пользу второй части. Но об этой позже.Посмотрели мы его ещё немного, и я сдалась. Было принято решение, что фильм, в котором графика превалирует над сюжетом смотреть нужно всё же в кинотеатре, а не на экране ноутбука или даже телевизора.Поэтому в понедельник вечером нами был выбран кинотеатр с удобным временем сеанса, куплены билеты на ряды подальше (ненавижу смотреть, задрав голову вверх), и нам пришлось вновь пересмотреть примерно 30-35 минут того, что мы уже видели, но в гораздо более лучшем качестве. 










 Сюжет.Вот такое описание можно найти на кинопоиске:После принятия образа аватара солдат Джейк Салли становится предводителем народа на'ви и берет на себя миссию по защите новых друзей от корыстных бизнесменов с Земли. Теперь ему есть за кого бороться — с Джейком его прекрасная возлюбленная Нейтири. Когда на Пандору возвращаются до зубов вооруженные земляне, Джейк готов дать им отпор.И почти полностью данное описание - ложь!На момент возвращения землян на землю, Джейк оброс семьёй. Они с Нейтири сделали трёх сыновей и лапочку-дочку.А так же удочерили девочку, которая каким-то непостижимым образом родилась у Аватара Грэйс.Джейк увёл племя в какие-то парящие горы, и начал муштровать своих сыновей так, будто они военные.Нави стали нападать на поезда и прочую технику землян, и воровать их оружие и технику.При чём тут Путь воды? Так вот о заголовке к отзыву - как только опасность стала угрожать в большей степени семье Джейка, он бросил племя, оставил старшего сына за вождя, забрал свою семью и начал скитаться в поисках убежища.То есть, наш герой из первой части, который воевал и со своими, и с чужими, обился уважения в чуждом племени и даже стал его вождём, победил землян и изгнал их с Пандоры, как только опасность стала угрожать его детям просто сбежал в поисках места, где можно спрятаться.А куда же делся герой Джейк Салли и вождь племени? И какой же такой отпор он дал землянам, про который гласит нам описание сюжета с кинопоиска? Персонажи. Сэм Уортингтон официально вернулся к роли Джейка Салли. 










Ну, Джейка мы все отлично помним ещё по первой части. Только теперь он не безногий бывший военный, а вождь племени Нави, муж и отец, и храбрый воин (по крайней мере в начале), которого земляне считают ""лидером повстанцев"".Его характер очень сильно изменили. Теперь он больше заботиться о своей семье, чем о племени. При чём защищает её не сражаясь, а скрываясь от врагов. Зои Салдана вновь сыграет роль Нейтири. 










А вот Нейтири осталась вполне себе прежней.Она яростная воительница, с жёстким характером, защищающая своё племя и детей от захватчиков.Нейтири не хочет бежать, но идёт на поводу у Джейка.Она любит своих детей не меньше, чем он, вот только методы их защиты у неё иные. Стивен Лэнг снова играет полковника Майлза Куорича. 










И да, в прошлой части Нейтири убила полковника, и он вроде бы как умер. Но он и жив, или не совсем он.В общем не буду вам спойлерить, как так получилось, лучше расскажу о характере персонажа.Полковник Куорич, кажется, ещё больше помешался на мести Джейку Салли. Теперь это его главная цель, и он готов положить на её достижение сколько угодно ресурсов и даже жизней, как врагов, так и союзников.Однако, даже ему в этом фильме навязали чувство отеческой любви. Сигурни Уивер сыграла нового персонажа по имени Кири. 










Смотря фильм, было у меня смутное сомнение, что очень уж Кири похожа на эту актрису.Оказывается, её и правда сыграла сама Сигурни Уивер.Кири дочь, родившаяся у Аватара Грэйс. Никто не знает как и от кого, но как-то так вышло... само.Джейк и Нейтири удочерили её и воспитывали, ка собственного ребёнка. Однако, о её происхождении ей честно всё рассказали, так что девочка знала, кто её мать.Кири особенная даже среди нави. Она слышит голос Великой матери, и может внезапно просто уйти в себя, а её тело останется валятся на земле, как пустой Аватар. Кейт Уинслет играет Ронал. 










Ронал - жена вождя водных Нави. Именно у них бывший вождь лесного племени, а нынче простой беглец, и его семья находят убежище.Ронал, как и Нейтири, с весьма жёстким характером, она пытается защитить своё племя от войны, которая может прийти вместе с Джейком и его семьёй. Но как и Нейтири, в какой-то момент Ронал идёт на поводу у мужа. Клифф Кертис играет Тоновари.Тоновари вождь водных Нави.Похоже, он из тех мужчин, которые только номинально стоит у власти, а все решения на самом деле принимает его жена, он же лишь озвучивает их. Эдит Фалько играет генерала Ардмора.Если я всё правильно поняла, то теперь военными на Пандоре управляет она.Не совсем ясно, зачем она вообще нужна была в фильме, так как никакого существенного влияния на сюжет этот персонаж не оказал.Разве что с помощью неё показали что-то вроде экзоскелета, в котором генерал рассекала несколько первых минут фильма, и даже с его помощью пила кофе. 










 Джек Чемпион играет Паука. 










Паук - сын полковника Майлза Куорича. Когда землян отправили обратно на родную планету в конце первой части фильма, мальчик был ещё младенец, поэтому он не мог быть заморожен с помощью криосна. Из-за этого его пришлось оставить на Пандоре.Он подружился с детьми Джейка и Нейтири, и рос вместе с ними, но Нейтири так и не приняла мальчонку, как своего. Джэми Флэттерс играет Нетеяма. 










Поскольку самый старший сын Джейка остался в лесном племени в качестве вождя, и сбежали они с двумя сыновьями, маленькой дочкой и дочерью Грэйс, Нетеяму можно считать страшим из сыновей Джейка, которого мы будем видеть в течении фильма.Не самая заметная персона. Он почти беспрекословно слушается отца и постоянно пытается вытащить младшего брата, который весьма любит влезать в неприятности. Бритен Далтон играет Лоака. 










Вообще, мне показалось, что в этом фильме главный герой именно Лоак, а не Джейк.Лоак младший сын Джейка и Нейтири. Ему кажется, что его не понимают, не ценят (ну, в общем как и всем подросткам в его возрасте). Он постоянно пытается доказать себе и окружающим, а главное - отцу, что он способен на гораздо большее, чем все считают. Из-за этого часто попадает в неприятности. Тринити Блисс играет Тука.Тук - самый младший ребёнок в семье. Это дочка Джейка и Нейтири. Она ещё совсем маленькая, постоянно бегает прицепом за старшими детьми, и часто попадает в неприятности вместе с ними. Филипп Гелджо играет Аонунга.Аонунг - сын Ронал и Тоновари. И похоже на то, что вся его роль в фильме сводиться к тому, чтобы задирать Лоака и провоцировать его на необдуманные поступки. Бэйли Басс играет Цирею. 










Цирея - дочь Ронал и Тоновари и старшая сестра Аонунга.Она понравилась Лоаку с первого взгляда, но не ждите, любовной истории между ними не будет.Девочка, в отличие от брата, хорошего отнеслась к нежданным новым жильцам их племени. Она честно пытается обучить их той жизни, которой живёт её племя, и постоянно шатается вместе с детьми Джейка. И, конечно, попадает в неприятности вместе с ними. Визуальная составляющая. 










Ради этого, как мне кажется, весь фильм, длинною в три с лишним часа, и был создан.Виды несомненно очень красивые! Можно даже сказать - фантастические. Подводный мир показан ярко и детально, с шикарными спецэффектами. 










Много весьма масштабных сцен сражений, которые так же не обошлись без спецэффектов.  










Ради этого на самом деле стоило пойти в кино, дома, на экране телевизора, прочувствовать всё это великолепие не удастся.Всё сделано действительно качественно и впечатляющее. 










И, конечно, как всегда ест ""но"", о котором я писала ещё в отзыве к первому фильму, поскольку на тот момент уже начала смотреть второй и могла сравнивать.Что произошло с Аватарами и Нави? Почему они такие ненатуральные что ли? Двигаются искусственно, часто можно заметить, что движения не плавные, а как-то дёрганные что ли. Возникает чувство, что персонажам собственные конечности не родные. 










Почему нельзя было сделать то же самое, что в первой части? Ну, хорошо ведь тогда получилось, выглядело весьма натурально.Единственное, что спасает неказистых синих людей - это мимика. Мимика лица, которая была у персонажей, мне очень понравилась. Она даже более живая, чем у обычных актёров. Музыка.Автором саундтрека во второй части Аватара стал Саймон Фрэнглен.Он работал вместе с командами двух групп, таких как The Weeknd и The Songcord, некоторые песни исполняет актриса, играющая роль Нейтири — Зои Салдана.Музыка в фильме действительно заслуживает отдельного внимания. Что в первой, что во второй части, музыка - это именно то, к чему нет ни одной претензии.Мелодии очень красивые, все песни хорошо исполнены. Музыка отлично дополняет визуальный ряд и незамысловатый (в отличие от первой части) сюжет. Игра актёров.Мне сложно оценить игру актёров в этом фильме, так как людей-то в нём почти и нет. Большинство героев - это аватары, Нави, и их дети полукровки.Я уже писала выше про мимику:Мимика лица, которая была у персонажей, мне очень понравилась. Она даже более живая, чем у обычных актёров.Только вот вопрос: такая мимика - это результат игры актёров или за это нужно благодарить компьютерную графику и технологии? 










Мне очень понравилось как была исполнена Кири. Постоянно было чувство, что она чем-то очень знакома. И когда я увидела, кто её играет, поняла, почему черты её лица мне казались такими знакомыми. Сделано очень узнаваемо. Общее впечатление от просмотра фильма.Смотреть его надо на большом экране, иначе весь смысл великолепной графики теряется. 










Что же касается сюжета, по сравнению с первой частью просел он весьма ощутимо, видимо, как раз в угоду красивым видам и спецэффектам.Я уже задавалась выше вопросом, как главный герой из отважного воина стал таким откровенным трусом. Неужели отцовство повлияло?Любовной линии, которую вполне можно было ожидать между Циреей и Лоаком, не оказалось. Хотя в первой части любовная линия между родителями Лоака была очень продуманная и красивая.Много смысловых провалов, которые не поддаются никакой логики? Джей сбежал! Он перестал вести борьбу, взял свою семью в охапку и сбежал! Так зачем военные так упорно гоняются именно за ним? Он больше не опасен. Зачищайте лесное племя, забирайте земли, ресурсы и вперёд. Но нет, военные начинают гоняться за Джейком Салли и его семьёй по всей планете.Ну, и ещё весьма сильно удивил один момент. В одной из сцен море загорится из-за крушение корабля, и Нейтири с детьми из-за этого поплывёт к тонущему кораблю, а не к спасительным скалам.Я гуманитарий, но даже я понимаю элементарные законы физики. На поверхности моря горело разлившееся горючее, вода сама по себе гореть не может. Так почему бы просто не нырнуть? Нырните, проплывите под водой то место, где горит поверхность, и плывите к скалам.Ладно, Нави, они, наверно, могут этих тонкостей и не знать. Но Джейк бывший военный, он то почему об этом не подумал? Итог.Есть фильмы, к которым не стоит делать продолжение.Наверно, для меня ""Аватар"" оказался именно таким фильмом. Никакое продолжение здесь было не нужна. История закончена, она логически завершена. Продолжение, которое в итоге оставило массу вопросов, видимо, с заделом на третий фильм, стоит посмотреть лишь ради красивых видов и хорошей графики. 










Фильм к просмотру я порекомендую лишь потому, что считаю, что по поводу такого масштабного (в этом ему не откажешь) проекта, каждый должен так или иначе сложить своё личное мнение, основанное не только на отзывах других. "
